Timestamp,Heading,Users,hashtag,Follower_count
19-11-2020 10:06,"When there was 100 cases @narendramodi @AmitShah call for lockdown of entire country , when corona was not spread in country , now when in 24 hours almost 30,000+ cases is reported and cold increases spread, PPL are walking in streets, govt is waiting ,worse is Delhi #Delhicorona'",Pooja29904393',['Delhicorona'],99
19-11-2020 10:04,"Delights will be fined 2k for not wearing mask, @ArvindKejriwal making this announcement without mask. #Delhicorona https://t.co/9VngHAvElO'",prashantverma33',['Delhicorona'],97
19-11-2020 10:03,"Will only restricting wedding ceremony help control corona when PPL are walking in streets @AmitShah @narendramodi @ArvindKejriwal to somehow control spread atleast few days lockdown is now necessary , in Delhi &amp; few states , cold increases spread #Delhicorona'",Pooja29904393',['Delhicorona'],99
19-11-2020 10:02,"""My ssc cpo19 PET test is on November 25th in delhi ncr and now after seeing delhi corona number rising #SSC released admit card, hw i will go when corona cases are at it's peak #Delhicorona  @ArvindKejriwal @PMOIndia @narendramodi_in @narendramodi #Delhicorona @myogiadityanath https://t.co/uensg30CgA""",KumarSh15488817',"['SSC', 'Delhicorona', 'Delhicorona']",5
19-11-2020 10:02,#Delhicorona  Cases are increasing !!!!!! https://t.co/dqUQZSd3Se',Anurag_meena120',['Delhicorona'],21
19-11-2020 04:32,@nasirqu0565 Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
19-11-2020 04:32,Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/iTEs5hq3ff',AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
19-11-2020 04:32,Please help us...#aajtak #abpnews #timesofindia #ICAI_DENIES_SAFTEY #ICAI_DENIES_EQUALITY #icaiexamspostponment #icai',Neel46631465',"['aajtak', 'abpnews', 'timesofindia', 'ICAI_DENIES_SAFTEY', 'ICAI_DENIES_EQUALITY', 'icaiexamspostponment', 'icai']",0
19-11-2020 04:32,@nasirqu0565 @pmo Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
19-11-2020 04:32,"@OfficeOfDGP @theicai Sir EIS m chap 4 hai... E-COMMERCE, M-COMMERCE online shopping naam ki cheez hai duniya m\xf0\x9f\x98\x8a JEE/NEET WAS 1 DAY PAPER AND ICAI IS CONDUCTING 18-20 DAYS PPR  DONT COMPARE CA EXAMS WITH JEE/NEET  #ICAI_DENIES_SAFTEY  #ICAI_DENIES_SAFETY'",Soni_shruti12',"['ICAI_DENIES_SAFTEY', 'ICAI_DENIES_SAFETY']",10
19-11-2020 04:32,Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/OWh95B3Ff8',AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
19-11-2020 04:31,@nasirqu0565 @theicai Success delayed is never success denied. #ICAI_DENIES_SAFTEY #icaiexams #ICAI_DENIES_EQUALITY  @theicai \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',AmanSofficial',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'ICAI_DENIES_EQUALITY']",78
19-11-2020 04:31,#ICAI_DENIES_SAFTEY #ICAI_DENIES_EQUALITY  #icaiexamspostponment  Student still trying to postpone CA exams  Le JEE/NEET student- https://t.co/IWchswBGpu',SIR_SARTHAKK',"['ICAI_DENIES_SAFTEY', 'ICAI_DENIES_EQUALITY', 'icaiexamspostponment']",8
19-11-2020 04:31,"""Shame on icai. Postpone exams for one month and make proper arrangements. 1 month will won't harm anyone. #icai #ICAI_DENIES_SAFTEY https://t.co/RcUQLEwLgo""",Rahul56587',"['icai', 'ICAI_DENIES_SAFTEY']",5
19-11-2020 04:31,Admit Card ka print out la aoo na ....agar admit Card ka matter final ho gya ho to #beloved_ccm #ICAI_DENIES_EQUALITY #ICAI_DENIES_SAFTEY #ICAI #ICAI_NOT_PREPARED',AmitKum92852909',"['beloved_ccm', 'ICAI_DENIES_EQUALITY', 'ICAI_DENIES_SAFTEY', 'ICAI', 'ICAI_NOT_PREPARED']",8
